OBJECTID,EPT,Cnt_EPT
-1,3003885,1
-1,3003888,1
-1,3003898,1
-1,3003910,1
-1,3003911,1
-1,3003917,2
-1,3003918,2
-1,3003919,1
-1,3003921,1
-1,3003926,2
-1,3003930,2
-1,3003932,1
-1,3003933,1
-1,3003935,2
-1,3003936,1
-1,3003937,1
-1,3003938,1
-1,3003940,1
-1,3003944,2
-1,3003947,1
-1,3003948,2
-1,3003951,1
-1,3003952,1
-1,3003955,1
-1,3003959,1
-1,3003964,2
-1,3003971,1
-1,3003978,2
-1,3003980,1
-1,3003983,1
-1,3003985,2
-1,3003987,1
-1,3003991,1
-1,3003994,1
-1,3003999,2
-1,3004031,1
-1,3004052,1
-1,3004055,1
-1,3004061,2
-1,3004079,1
-1,3004081,1
-1,3004084,1
-1,3004085,1
-1,3004086,1
-1,3004088,1
-1,3004096,1
-1,3004106,2
-1,3004117,1
-1,3004119,1
-1,3004132,1
-1,3004134,1
-1,3004138,1
-1,3004149,1
-1,3004151,1
-1,3004152,1
-1,3004161,2
-1,3004163,1
-1,3004164,1
-1,3004166,2
-1,3004167,1
-1,3004169,2
-1,3004170,1
-1,3004171,2
-1,3004172,1
-1,3004173,1
-1,3004174,2
-1,3004175,1
-1,3004177,1
-1,3004178,2
-1,3004181,1
-1,3004182,2
-1,3004183,1
-1,3004185,1
-1,3004187,1
-1,3004188,1
-1,3004190,1
-1,3004193,1
-1,3004194,1
-1,3004195,2
-1,3004197,1
-1,3004200,2
-1,3004201,1
-1,3004204,1
-1,3004205,2
-1,3004213,1
-1,3004216,2
-1,3004217,2
-1,3004218,1
-1,3004225,2
-1,3004227,1
-1,3004229,2
-1,3004230,1
-1,3004231,1
-1,3004236,2
-1,3004237,1
-1,3004238,1
-1,3004240,2
-1,3004241,2
-1,3004242,2
-1,3004243,1
-1,3004244,1
-1,3004245,1
-1,3004251,2
-1,3004253,2
-1,3004254,1
-1,3004255,1
-1,3004256,1
-1,3004258,2
-1,3004261,2
-1,3004264,2
-1,3004265,2
-1,3004268,2
-1,3004270,1
-1,3004271,2
-1,3004273,1
-1,3004275,2
-1,3004276,2
-1,3004277,1
-1,3004278,1
-1,3004280,1
-1,3004282,1
-1,3004284,2
-1,3004289,1
-1,3004293,1
-1,3004294,1
-1,3004296,2
-1,3004301,1
-1,3004302,1
-1,3004305,1
-1,3004309,1
-1,3004310,1
-1,3004311,1
-1,3004313,1
-1,3004314,2
-1,3004316,1
-1,3004320,1
-1,3004321,1
-1,3004330,2
-1,3004338,2
-1,3004342,1
-1,3004344,1
-1,3004345,1
-1,3004346,2
-1,3004354,3
-1,3004358,1
-1,3004359,2
-1,3004360,1
-1,3004366,1
-1,3004370,2
-1,3004371,1
-1,3004372,1
-1,3004374,1
-1,3004379,2
-1,3004384,1
-1,3004389,2
-1,3004397,1
-1,3004406,1
-1,3004407,1
-1,3004411,2
-1,3004415,2
-1,3004419,2
-1,3004420,1
-1,3004421,1
-1,3004432,2
-1,3004436,1
-1,3004450,2
-1,3004457,1
-1,3004460,1
-1,3004463,1
-1,3004467,1
-1,3004471,1
-1,3004478,1
-1,3004480,1
-1,3004485,1
-1,3004486,1
-1,3004497,1
-1,3004502,1
-1,3004503,1
-1,3004505,1
-1,3004513,1
-1,3004515,1
-1,3004517,2
-1,3004519,1
-1,3004522,1
-1,3004525,1
-1,3004526,1
-1,3004527,1
-1,3004528,2
-1,3004530,1
-1,3004533,2
-1,3004540,1
-1,3004549,1
-1,3004552,1
-1,3004554,2
-1,3004555,1
-1,3004557,1
-1,3004559,1
-1,3004560,1
-1,3004561,2
-1,3004562,2
-1,3004566,2
-1,3004567,2
-1,3004570,1
-1,3004576,1
-1,3004578,1
-1,3004579,2
-1,3004580,1
-1,3004581,2
-1,3004582,1
-1,3004584,2
-1,3004586,1
-1,3004587,1
-1,3004590,1
-1,3004593,1
-1,3004595,1
-1,3004596,1
-1,3004599,1
-1,3004600,1
