OBJECTID,BPT,Cnt_BPT
-1,3002930,2
-1,3002931,1
-1,3002932,1
-1,3002933,2
-1,3002936,1
-1,3002945,1
-1,3002948,2
-1,3002953,3
-1,3002954,2
-1,3002958,2
-1,3002959,1
-1,3002965,1
-1,3002966,1
-1,3002967,2
-1,3002994,2
-1,3003004,2
-1,3003007,1
-1,3003017,2
-1,3003022,1
-1,3003036,2
-1,3003043,1
-1,3003046,1
-1,3003049,2
-1,3003052,2
-1,3003061,2
-1,3003062,2
-1,3003076,1
-1,3003077,1
-1,3003078,1
-1,3003079,2
-1,3003086,1
-1,3003089,1
-1,3003094,1
-1,3003096,1
-1,3003102,2
-1,3003104,1
-1,3003107,1
-1,3003110,1
-1,3003112,1
-1,3003116,2
-1,3003127,1
-1,3003131,1
-1,3003151,1
-1,3003184,1
-1,3003185,1
-1,3003188,1
-1,3003190,1
-1,3003191,2
-1,3003192,2
-1,3003193,2
-1,3003195,1
-1,3003196,2
-1,3003200,2
-1,3003201,2
-1,3003203,1
-1,3003206,1
-1,3003208,1
-1,3003209,1
-1,3003212,2
-1,3003214,1
-1,3003217,1
-1,3003219,1
-1,3003224,2
-1,3003226,1
-1,3003227,2
-1,3003229,1
-1,3003231,2
-1,3003233,1
-1,3003237,2
-1,3003248,2
-1,3003251,2
-1,3003252,1
-1,3003264,2
-1,3003267,1
-1,3003268,2
-1,3003273,1
-1,3003275,2
-1,3003276,2
-1,3003279,1
-1,3003282,2
-1,3003283,1
-1,3003284,2
-1,3003285,2
-1,3003286,1
-1,3003294,1
-1,3003295,1
-1,3003304,1
-1,3003308,1
-1,3003327,2
-1,3003330,2
-1,3003333,1
-1,3003334,2
-1,3003335,1
-1,3003337,2
-1,3003345,2
-1,3003346,2
-1,3003347,2
-1,3003348,1
-1,3003352,1
-1,3003368,2
-1,3003374,1
-1,3003377,1
-1,3003381,1
-1,3003390,1
-1,3003393,1
-1,3003403,1
-1,3003408,2
-1,3003411,1
-1,3003417,1
-1,3003421,1
-1,3003423,1
-1,3003426,2
-1,3003446,3
-1,3003462,1
-1,3003465,1
-1,3003482,1
-1,3003484,1
-1,3003494,1
-1,3003498,1
-1,3003509,1
-1,3003515,1
-1,3003528,2
-1,3003530,1
-1,3003535,2
-1,3003536,2
-1,3003538,1
-1,3003542,1
-1,3003543,1
-1,3003545,2
-1,3003546,1
-1,3003547,2
-1,3003549,2
-1,3003550,2
-1,3003551,1
-1,3003553,1
-1,3003555,2
-1,3003559,1
-1,3003562,1
-1,3003563,1
-1,3003565,1
-1,3003567,2
-1,3003568,1
-1,3003569,1
-1,3003570,2
-1,3003571,1
-1,3003574,2
-1,3003576,1
-1,3003579,1
-1,3003580,1
-1,3003581,2
-1,3003582,1
-1,3003583,2
-1,3003584,1
-1,3003585,1
-1,3003586,2
-1,3003588,2
-1,3003589,1
-1,3003593,2
-1,3003594,1
-1,3003596,1
-1,3003598,2
-1,3003600,2
-1,3003601,2
-1,3003602,1
-1,3003603,1
-1,3003606,1
-1,3003608,2
-1,3003609,1
-1,3003612,2
-1,3003613,2
-1,3003614,2
-1,3003615,2
-1,3003616,1
-1,3003617,2
-1,3003620,1
-1,3003622,1
-1,3003623,2
-1,3003624,2
-1,3003626,2
-1,3003628,2
-1,3003629,2
-1,3003631,1
-1,3003632,1
-1,3003633,1
-1,3003634,2
-1,3003635,1
-1,3003636,1
-1,3003637,1
-1,3003638,2
-1,3003641,1
-1,3003643,2
-1,3003646,1
-1,3003649,2
-1,3003650,1
-1,3003652,1
-1,3003655,2
-1,3003658,1
-1,3003659,2
-1,3003662,1
-1,3003663,2
-1,3003667,1
-1,3003671,1
-1,3003672,2
-1,3003679,2
-1,3003683,2
-1,3003686,1
-1,3003687,2
-1,3003690,1
-1,3003694,2
-1,3003695,1
-1,3003698,1
-1,3003709,1
-1,3003720,1
-1,3003723,1
-1,3003755,1
-1,3003762,1
-1,3003781,1
-1,3003783,2
-1,3003787,2
-1,3003809,1
-1,3003826,2
-1,3003834,1
-1,3003836,2
-1,3003844,2
-1,3003848,1
-1,3003851,1
-1,3003853,1
-1,3003868,1
-1,3003885,1
-1,3003888,1
-1,3003898,1
-1,3003910,2
-1,3003911,1
-1,3003917,1
-1,3003918,2
-1,3003919,2
-1,3003921,1
-1,3003926,1
-1,3003930,2
-1,3003932,1
-1,3003933,1
-1,3003935,2
-1,3003937,1
-1,3003938,2
-1,3003940,2
-1,3003944,1
-1,3003947,1
-1,3003948,2
-1,3003951,1
-1,3003952,2
-1,3003955,1
-1,3003959,1
-1,3003964,1
-1,3003971,2
-1,3003978,1
-1,3003980,1
-1,3003983,2
-1,3003985,1
-1,3003987,1
-1,3003991,2
-1,3003999,1
-1,3004031,1
-1,3004052,1
-1,3004055,1
-1,3004061,1
-1,3004079,1
-1,3004081,2
-1,3004084,1
-1,3004085,1
-1,3004086,1
-1,3004088,1
-1,3004092,3
-1,3004096,1
-1,3004106,2
-1,3004117,1
-1,3004132,2
-1,3004138,1
-1,3004149,2
-1,3004151,2
-1,3004161,2
-1,3004163,1
-1,3004164,1
-1,3004166,2
-1,3004167,1
-1,3004169,2
-1,3004170,1
-1,3004171,2
-1,3004172,1
-1,3004173,1
-1,3004174,1
-1,3004175,1
-1,3004177,1
-1,3004178,2
-1,3004181,1
-1,3004182,2
-1,3004183,2
-1,3004185,2
-1,3004187,1
-1,3004188,2
-1,3004190,1
-1,3004193,1
-1,3004194,1
-1,3004195,1
-1,3004197,1
-1,3004200,2
-1,3004201,1
-1,3004204,1
-1,3004205,2
-1,3004213,1
-1,3004216,2
-1,3004217,2
-1,3004218,1
-1,3004225,1
-1,3004227,1
-1,3004229,1
-1,3004230,1
-1,3004231,1
-1,3004232,1
-1,3004237,2
-1,3004238,1
-1,3004240,2
-1,3004241,2
-1,3004242,2
-1,3004243,1
-1,3004244,1
-1,3004245,1
-1,3004248,1
-1,3004251,1
-1,3004253,2
-1,3004254,1
-1,3004255,1
-1,3004256,5
-1,3004258,2
-1,3004261,2
-1,3004264,1
-1,3004265,1
-1,3004268,1
-1,3004270,2
-1,3004271,2
-1,3004273,1
-1,3004275,1
-1,3004276,2
-1,3004277,1
-1,3004280,1
-1,3004282,2
-1,3004284,2
-1,3004289,2
-1,3004293,1
-1,3004296,2
-1,3004301,2
-1,3004302,2
-1,3004305,2
-1,3004310,1
-1,3004311,1
-1,3004313,2
-1,3004314,2
-1,3004320,2
-1,3004321,1
-1,3004330,1
-1,3004338,1
-1,3004342,2
-1,3004344,1
-1,3004345,2
-1,3004346,4
-1,3004354,2
-1,3004358,2
-1,3004359,1
-1,3004360,1
-1,3004366,1
-1,3004370,2
-1,3004372,1
-1,3004374,3
-1,3004379,1
-1,3004384,1
-1,3004389,1
-1,3004397,1
-1,3004406,1
-1,3004407,3
-1,3004411,1
-1,3004415,1
-1,3004419,2
-1,3004432,1
-1,3004436,1
-1,3004450,1
-1,3004457,2
-1,3004460,1
-1,3004463,1
-1,3004467,1
-1,3004471,2
-1,3004478,1
-1,3004485,1
-1,3004486,1
-1,3004497,2
-1,3004502,3
-1,3004513,1
-1,3004515,1
-1,3004517,1
-1,3004519,1
-1,3004522,1
-1,3004525,1
-1,3004526,1
-1,3004527,1
-1,3004528,2
-1,3004530,1
-1,3004533,1
-1,3004540,1
-1,3004549,1
-1,3004552,1
-1,3004553,2
-1,3004554,1
-1,3004555,2
-1,3004557,2
-1,3004559,2
-1,3004560,2
-1,3004561,1
-1,3004562,1
-1,3004566,2
-1,3004567,2
-1,3004576,2
-1,3004578,1
-1,3004579,1
-1,3004581,2
-1,3004582,1
-1,3004584,1
-1,3004586,2
-1,3004587,3
-1,3004593,2
-1,3004595,2
-1,3004596,1
-1,3004599,2
-1,3004600,2
-1,3004604,2
-1,3004605,2
-1,3004606,1
-1,3004609,1
-1,3004612,1
-1,3004617,1
-1,3004618,1
-1,3004630,2
-1,3004633,2
-1,3004642,2
-1,3004653,2
-1,3004656,2
-1,3004661,1
-1,3004662,2
-1,3004671,1
-1,3004685,1
-1,3004686,1
-1,3004689,4
-1,3004691,2
-1,3004697,2
-1,3004698,1
-1,3004703,2
-1,3004714,1
-1,3004719,2
-1,3004741,1
-1,3004742,2
-1,3004748,1
-1,3004749,1
-1,3004750,1
-1,3004751,1
-1,3004752,2
-1,3004754,3
-1,3004755,2
-1,3004756,2
-1,3004759,1
-1,3004760,1
-1,3004761,1
-1,3004762,1
-1,3004763,1
-1,3004771,1
-1,3004776,2
-1,3004780,2
-1,3004787,1
-1,3004788,1
-1,3004789,1
-1,3004799,1
-1,3004803,1
-1,3004804,2
-1,3004805,2
-1,3004813,2
-1,3004819,2
-1,3004827,2
-1,3004828,2
-1,3004829,1
-1,3004833,2
-1,3004839,1
-1,3004841,1
-1,3004845,2
-1,3004852,2
-1,3004855,2
-1,3004857,2
-1,3004858,2
-1,3004859,2
-1,3004864,2
-1,3004879,1
-1,3004882,1
-1,3004886,1
-1,3004888,1
-1,3004889,1
-1,3004890,1
-1,3004894,1
-1,3004895,1
-1,3004896,2
-1,3004899,1
-1,3004901,2
-1,3004903,2
-1,3004905,2
-1,3004906,1
-1,3004907,2
-1,3004909,1
-1,3004912,2
-1,3004917,2
-1,3004919,1
-1,3004921,1
-1,3004924,1
-1,3004925,2
-1,3004936,2
-1,3004937,2
-1,3004942,1
-1,3004944,2
-1,3004945,2
-1,3004946,1
-1,3004947,1
-1,3004952,1
-1,3004953,1
-1,3004961,2
-1,3004965,2
-1,3004969,1
-1,3004971,2
-1,3004972,1
-1,3004978,1
-1,3004980,1
-1,3004981,1
-1,3004982,1
-1,3004983,1
-1,3004985,1
-1,3004989,2
-1,3004990,2
-1,3004991,1
-1,3004996,1
