OBJECTID,ROADNAME,Cnt_ROADNAME
2200,Skyline Rd,1
2201,Skyview Dr,1
2202,Skyview Way,2
2203,Slater Ave,2
2204,Sleepy Hollow Beach Resort,4
2205,Smalla Ln,1
2206,Smith Lane Dr,1
2207,Snell's Back River Crossing,1
2208,Snow Farm Dr,1
2209,Sobus Ct,2
2210,Solace Way,1
2211,Songbird Ln,2
2212,Sophia Way,3
2213,South Ave,3
2214,South Baseline Lake Rd,1
2215,South Fork Dr,2
2216,South Lake Doster Dr,12
2217,South Lake Ln,2
2218,South Memorial Dr,2
2219,South Pine Trl,2
2220,South Point Ridge,5
2221,South Rolling Ridge Dr,2
2222,South Shore Dr,12
2223,South Spec Lake Dr,1
2224,South St,6
2225,South Stoneridge Dr,2
2226,Southern Ct,2
2227,Southpointe Trl,3
2228,Southside Ln,1
2229,Southwoods Trl,2
2230,Sparks Ave,1
2231,Spear St,5
2232,Spring Beauty Ln,1
2233,Spring Brook Dr,1
2234,Spring Hill Point Ln,1
2235,Spring Ln,4
2236,Spring Meadow Dr,2
2237,Springbrook Dr,5
2238,Springhill Dr,2
2239,Springwell Ct,1
2240,Spruce Cir,2
2241,Spruce Dr,3
2242,Spruce Ln,10
2243,Spruce St,2
2244,Spruceview Dr,2
2245,Squire Ct,1
2246,St Andrews Dr,7
2247,St Joseph St,4
2248,Standing Stone Dr,2
2249,Standish Dr,2
2250,Standish St,2
2251,Stanton Ct,1
2252,Stanton Farms Dr,1
2253,Starlite Dr,4
2254,Starr Elem School Access,2
2255,Starr Rd,9
2256,Starry Ln,2
2257,State Park Dr,2
2258,State St,4
2259,Sterling Ave,1
2260,Sterling Dr,2
2261,Sterling Rd,1
2262,Stern St,1
2263,Stevens Ct,1
2264,Stoney Hill Dr,2
2265,Stoney Point Dr,2
2266,Stoney Ridge Ct,2
2267,Stoneybrook Ln,2
2268,Stratford Ave,1
2269,Streeter Ave,1
2270,Suequehanna Ln,1
2271,Summer Creek Ct,2
2272,Summer Creek Dr,3
2273,Summer Grove Dr,1
2274,Summerwyn Dr,3
2275,Summit Dr,2
2276,Summit Path,2
2277,Summit St,1
2278,Summit View Concourse,1
2279,Sun And Surf Ct,3
2280,Sun Valley Ln,2
2281,Sunday Dr,3
2282,Sunfish Dr,2
2283,Sunflower Dr,4
2284,Sunny Pine Dr,1
2285,Sunnyside Dr,3
2286,Sunquest Ave,4
2287,Sunrise Dr,3
2288,Sunrise Ln,1
2289,Sunrise Trl,3
2290,Sunset Cir,2
2291,Sunset Concourse,2
2292,Sunset Cove Dr,2
2293,Sunset Cove Ln,2
2294,Sunset Dr,7
2295,Sunset Ln,3
2296,Sunset Meadow Dr,2
2297,Sunset Pkwy,1
2298,Sunset Point,3
2299,Sunset Trl,1
2300,Sunset View,2
2301,Superman Dr,1
2302,Susan,1
2303,Susan St,1
2304,Sussex Pl,1
2305,Sutherland St,1
2306,Sutter Memorial Dr,1
2307,Swan Ave,3
2308,Swan Creek Ct,3
2309,Swan Dr,2
2310,Swan Lake BAS,3
2311,Swan Lake Dr,2
2312,Swansea St,2
2313,Swing Bridge Ln,2
2314,Sycamore Bend,1
2315,Sycamore Ct,2
2316,Sycamore Dr,1
2317,Sycamore St,3
2318,Tabbert Dr,1
2319,Tadpole Aly,1
2320,Taft Rd,6
2321,Takken St,1
2322,Tall Tree Ln,1
2323,Talley's Aly,1
2324,Tamarack St,1
2325,Tanglewood Dr,1
2326,Tannery Creek Dr,1
2327,Tavistock Dr,1
2328,Taylor Dr,1
2329,Taylor Ln,1
2330,Taylor St,1
2331,Temple St,1
2332,Templeton St,2
2333,Tepee Trl,2
2334,Terrace Ct,1
2335,Terrace Dr,1
2336,Terrace St,2
2337,Terravita Cir,4
2338,Terravita Way,1
2339,The Beach Rd,2
2340,The Glade,1
2341,The Hermitage,1
2342,Thelen Dr,4
2343,Third St,8
2344,Thomas Ave,4
2345,Thomas St,15
2346,Thompson Ave,1
2347,Thompson Dr,1
2348,Thoreau Ct,1
2349,Thornhill Rd,2
2350,Three Fires Trl,1
2351,Tiffany Dr,1
2352,Timber Creek Dr,3
2353,Timber Oaks Ct,3
2354,Timber Ridge Bay Ct,2
2355,Timber Ridge Bay Dr,2
2356,Timbercrest Ln,1
2357,Timberidge Trl,2
2358,Timberview,1
2359,Tippy Ln,1
2360,Tom Ct,2
2361,Tom Nolan Rd,1
2362,Tomahawk Blvd,1
2363,Tomahawk Trl S,2
2364,Tompkins Dr,1
2365,Tony Ave,3
2366,Topview Dr,1
2367,Toronto Trl,4
2368,Townline Ave,2
2369,Track Side Dr,1
2370,Tracy Trl,3
2371,Trails End,1
2372,Tranquility Ln,1
2373,Transport Ln,2
2374,Trappers Crossing,1
2375,Travistock Dr,2
2376,Tree Haven,3
2377,Tree Haven Cir,2
2378,Trestle Ln,1
2379,Trillium Ct,1
2380,Trinity Dr,1
2381,Troon Ct,3
2382,Trowbridge St,6
2383,Tulip Ln,4
2384,Tulip Tree Ln,2
2385,Tumbleweed Dr,1
2386,Turkey Ln,2
2387,Turkey Run,3
2388,Turnberry Way,1
2389,Turtle Dr,2
2390,Tyler Rd,2
2391,Tyler Trl,1
2392,Union St,4
2393,Unity Ln,1
2394,University St,4
2395,Unknown,48
2396,Unknown 1,2
2397,Unknown0051202,1
2398,Unknown005161 Rd,1
2399,Unknown0051701 Rd,1
2400,Unknown0053001,3
2401,Urfer Dr,1
2402,US 131 Crossover,13
2403,US 31 Crossover,1
2404,Uthers Dr,1
2405,Valkyrie Ln,2
2406,Valley Ave,1
2407,Valley Dr,1
2408,Valley View Ct,2
2409,Valley View Ln,1
2410,Valley Vista Dr,8
2411,Valleywood Ct,2
2412,Van Dalson St,1
2413,Van Dyke Dr,1
2414,Van Horn Ct,2
2415,Van Wieren Dr,1
2416,Vancouver Pl,1
2417,Vandermeulen Rd,1
2418,Varney St,1
2419,Vassar Ave,1
2420,Vernon D. Ebersole Center,1
2421,Vernon St,1
2422,Versailles Dr,3
2423,Veterans Dr,2
2424,Viaduct Rd,1
2425,Victoria,1
2426,Vienna Strasse,5
2427,Villa Ave,3
2428,Village Ct,1
2429,Village Dr,3
2430,Village Ln,2
2431,Vine St,6
2432,Vineyard Dr,1
2433,Violet St,1
2434,Vista Ct,1
2435,Volkers St,3
2436,Vos Pl,2
2437,Voss Ave,2
2438,Voyager Ct,2
2439,Voyager Dr,1
2440,W 32nd St,58
2441,W 33rd St,9
2442,W 34th St,5
2443,W 35th St,8
2444,W 36th St,1
2445,W 37th St,3
2446,W 38th St,1
2447,W 39th St,3
2448,W 40th St,9
2449,W 48th St,10
2450,W 48th/Regent Cutoff,1
2451,W 64th St,3
2452,W Allegan St,8
2453,W Apple Ln,3
2454,W Arrowhead Trl,3
2455,W Baseline Rd,5
2456,W Bridge St,13
2457,W Brighton St,1
2458,W Center St,17
2459,W Chart St,5
2460,W Cherry St,5
2461,W Chestnut St,4
2462,W Elm St,8
2463,W Fennville St,4
2464,W First Ave,2
2465,W First St,4
2466,W Former Bridge St,1
2467,W Franklin St,6
2468,W Fremont St,7
2469,W Fulton St,4
2470,W Geneva Lake Dr,2
2471,W Grant St,3
2472,W Gun River Dr,1
2473,W Hammond St,3
2474,W Hill St,8
2475,W I 196,24
2476,W I 196/M 40 RAMP,1
2477,W Lake Dr,1
2478,W Main St,16
2479,W Maple St,5
2480,W Morrell St,4
2481,W Orleans St,4
2482,W Plainwell St,3
2483,W Rabbit River Ct,1
2484,W Rabbit River Run,1
2485,W Randolph St,5
2486,W River St,6
2487,W Ryan Woods Dr,1
2488,W Scenic Turn Ln,3
2489,W Selkirk Lake Dr,1
2490,W South St,1
2491,W Summer Grove Dr,1
2492,W Sunfield Ln,2
2493,W Superior St,16
2494,W Sycamore St,5
2495,W Van Bruggen St,2
2496,W Village Dr,3
2497,W Wall St,3
2498,W Walter St,2
2499,W Wiley Rd,9
2500,W Wise St,3
2501,Wake Robin Ln,3
2502,Wakefield St,2
2503,Walden Dr,1
2504,Walker Ave,1
2505,Walker Ridge Rd,1
2506,Walking Horse Ln,2
2507,Wallace Dr,2
2508,Walnut Ct,2
2509,Walnut Dale Dr,4
2510,Walnut Dr,1
2511,Walnut Park Dr,3
2512,Walnut St,10
2513,Walnut Woods Ct,1
2514,Walter Rd,2
2515,Walters Dr,2
2516,Wanamaker Rd,2
2517,Wapiti Dr,3
2518,Warbler Dr,1
2519,Ward Dr,4
2520,Warrant St,1
2521,Warwick St,1
2522,Washington Ave,1
2523,Washington Ct,1
2524,Washington St,13
2525,Washington/N US 31 RAMP,3
2526,Washington/S US 31,1
2527,Water St,20
2528,Waterfall Way,1
2529,Waters Edge,4
2530,Waters Edge Ln,2
2531,Waters Pointe Dr,2
2532,Watson Blvd,3
2533,Watson St,1
2534,Watts Rd,2
2535,Waukazoo Trl,2
2536,Waverly Rd,9
2537,Wayne Rd,2
2538,Wayne St,2
2539,Weber Ln,2
2540,Wedgewood Dr,13
2541,Wedgewood Way,1
2542,Weeks St,1
2543,Wegnar Dr,1
2544,Weicks Dr,2
2545,Weirich Dr,2
2546,Wellhead Access,2
2547,Wells Ave,1
2548,Wells Rd,1
2549,Wells St,2
2550,Wendy Ln,1
2551,Wesler Dr,5
2552,West Dr,1
2553,West Ln,2
2554,West Memorial Dr,1
2555,West Shore Dr,3
2556,West Shore Woods,3
2557,West Side County Park,1
2558,West St,4
2559,Western Ave,6
2560,Westfield Ct,2
2561,Westfield Ln,1
2562,Westshore St,3
2563,Westview Ct,3
2564,Westview Dr,4
2565,Westwind Ct,1
2566,Westwoods Ct,1
2567,Westwoods Dr,3
2568,Wetheral Lake Dr,1
2569,Wetmore Dr,1
2570,Whipporwill Ln,2
2571,Whisper Ct,2
2572,Whisper Ln,3
2573,Whispering Oaks,1
2574,Whispering Pines Dr,2
2575,White Horse Ln,3
2576,White Oak Ct,2
2577,White Pine Dr,7
2578,White Pine St,4
2579,White Pine Trl,3
2580,White Tail Ln,1
2581,White Trail Dr,3
2582,Whiteside Ln,2
2583,Whitetail Run,1
2584,Whitney Way,1
2585,Whittier Ave,1
2586,Whyment Ave,1
2587,Wild Creek Dr,2
2588,Wild Flower Ct,2
2589,Wild Flower Dr,3
2590,Wild Turkey Ln,2
2591,Wildcat Dr,1
2592,Wilderness Ln,3
2593,Wilderness Ridge Dr,6
2594,Wilderness Trl,1
2595,Wildflower Ave,1
2596,Wildflower Ln,2
2597,Wildwood Ct,2
2598,Wildwood Dr,9
2599,Wildwood Ln,3
2600,Wiley Ct,2
2601,Wiley Rd,3
2602,Williams Ln,1
2603,Williams Rd,3
2604,Williams St,2
2605,Willow Ln,2
2606,Willow Run,2
2607,Willow St,5
2608,Willyard St,3
2609,Wilson Dr,2
2610,Wilson St,3
2611,Winchester Ct,3
2612,Winchester St,3
2613,Windcliff Dr,2
2614,Windego Ln,1
2615,Windemuller Ct,2
2616,Windhaven Dr,2
2617,Winding Oak Dr,1
2618,Winding Way,20
2619,Windsor Dr,1
2620,Windsor Woods Dr,5
2621,Windwood Ln,1
2622,Windy Ridge,1
2623,Windy Ridge Dr,2
2624,Winfield,1
2625,Winnebago Trl,3
2626,Winnipeg Pl,1
2627,Winsted Ave,1
2628,Wintergreen Dr,3
2629,Wintergreen Rd,2
2630,Wkama Way,3
2631,Wolcott St,1
2632,Wonderland Dr,4
2633,Wood Ct,2
2634,Wood St,2
2635,Woodberry Ln,1
2636,Woodcliff St,2
2637,Woodcrest Ct,3
2638,Woodfield Ct,2
2639,Woodie Ln,1
2640,Woodland,1
2641,Woodland Ave,5
2642,Woodland Dr,1
2643,Woodland Trl,3
2644,Woodlea Dr,3
2645,Woodridge,1
2646,Woodridge Ct,2
2647,Woodside Dr,1
2648,Woodside Meadow Ct,2
2649,Woodstock Dr,2
2650,Woodstone,1
2651,Woodveiw Dr,1
2652,Woodview Ln,4
2653,Wooln St,1
2654,Wren Dr,3
2655,Wyndarden Way,1
2656,Yale St,1
2657,Yamoto Way,2
2658,Yazmin Dr,1
2659,York Ave,3
2660,Zak Rd,3
2661,Zellman Ct,2
2662,Zonne Ct,2
